numero_obra;numero_exemplar;numero_legado;ordem_estante;secao;grupo_autor_espiritual;codigo_autor;titulo;autor_espiritual;medium;tipo_obra;colecao;categorias;idioma;editora;sinopse;historico
"1";"1";"1045";"1045";"COD";"Allan Kardec — Codificação";"KAR";"A Obsessão";"Allan Kardec";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"";"";"Nº legado deste exemplar: 1045 · Ordem estante (Table 2): 1045 · Obra nº 1"
"2";"2";"772";"772";"COD";"Allan Kardec — Codificação";"KAR";"Coletânea de Preces Espiritas";"Allan Kardec";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"";"";"Nº legado deste exemplar: 772 · Ordem estante (Table 2): 772 · Obra nº 2"
"3";"3";"157";"157";"COD";"Allan Kardec — Codificação";"KAR";"Definições Espiritas";"Allan kardec";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"";"";"Nº legado deste exemplar: 157 · Ordem estante (Table 2): 157 · Obra nº 3"
"4";"4";"660";"660";"COD";"Allan Kardec — Codificação";"KAR";"Iniciação Espirita";"Allan Kardec";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"";"";"Nº legado deste exemplar: 660 · Ordem estante (Table 2): 660 · Obra nº 4"
"5";"5.1";"558";"771";"COD";"Allan Kardec — Codificação";"KAR";"O Que é o Espiritismo";"Allan Kardec";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"FEB";"Introdução didática à Doutrina Espírita e noções elementares sobre o mundo invisível e as manifestações dos Espíritos.";"Nº legado deste exemplar: 558 · Ordem estante (Table 2): 771 · Obra nº 5 · Exemplares da mesma obra: 558, 771"
"5";"5.2";"771";"771";"COD";"Allan Kardec — Codificação";"KAR";"O Que é o Espiritismo";"Allan Kardec";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"FEB";"Introdução didática à Doutrina Espírita e noções elementares sobre o mundo invisível e as manifestações dos Espíritos.";"Nº legado deste exemplar: 771 · Ordem estante (Table 2): 771 · Obra nº 5 · Exemplares da mesma obra: 558, 771"
"6";"6";"789";"789";"COD";"Allan Kardec — Codificação";"KAR";"Viagem Espirita";"Allan Kardec";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"";"";"Nº legado deste exemplar: 789 · Ordem estante (Table 2): 789 · Obra nº 6"
"7";"7";"589";"589";"COD";"Allan Kardec — Codificação";"KAR";"Curso do Espiritismo";"Kardec Rangel";"";"CODIFICATION";"";"Codificação Kardecista";"Português";"";"";"Nº legado deste exemplar: 589 · Ordem estante (Table 2): 589 · Obra nº 7"
"8";"8";"454";"454";"ROM";"Alfredo";"ALF";"A Mansão Renoin";"Alfredo";"Dolores Bacellar";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 454 · Ordem estante (Table 2): 454 · Obra nº 8"
"9";"9.1";"451";"576";"ROM";"Alfredo";"ALF";"A Mansão Renoir";"Alfredo";"Dolores Bacellar";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 451 · Ordem estante (Table 2): 576 · Obra nº 9 · Exemplares da mesma obra: 451, 542, 576"
"9";"9.2";"542";"576";"ROM";"Alfredo";"ALF";"A Mansão Renoir";"Alfredo";"Dolores Bacellar";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 542 · Ordem estante (Table 2): 576 · Obra nº 9 · Exemplares da mesma obra: 451, 542, 576"
"9";"9.3";"576";"576";"ROM";"Alfredo";"ALF";"A Mansão Renoir";"Alfredo";"Dolores Bacellar";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 576 · Ordem estante (Table 2): 576 · Obra nº 9 · Exemplares da mesma obra: 451, 542, 576"
"10";"10";"435";"435";"ROM";"Alfredo";"ALF";"A Mansão Renoir";"Espírito Alfredo";"Dolores Bacelar";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 435 · Ordem estante (Table 2): 435 · Obra nº 10"
"11";"11";"550";"550";"ROM";"Amélia Rodrigues";"AME";"Há flores no Caminho";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 550 · Ordem estante (Table 2): 550 · Obra nº 11"
"12";"12.1";"141";"784";"ROM";"Amélia Rodrigues";"AME";"Luz do Mundo";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 141 · Ordem estante (Table 2): 784 · Obra nº 12 · Exemplares da mesma obra: 141, 784"
"12";"12.2";"784";"784";"ROM";"Amélia Rodrigues";"AME";"Luz do Mundo";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 784 · Ordem estante (Table 2): 784 · Obra nº 12 · Exemplares da mesma obra: 141, 784"
"13";"13.1";"12";"13";"ROM";"Amélia Rodrigues";"AME";"Pelos Caminhos de Jesus";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 12 · Ordem estante (Table 2): 13 · Obra nº 13 · Exemplares da mesma obra: 12, 13"
"13";"13.2";"13";"13";"ROM";"Amélia Rodrigues";"AME";"Pelos Caminhos de Jesus";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 13 · Ordem estante (Table 2): 13 · Obra nº 13 · Exemplares da mesma obra: 12, 13"
"14";"14.1";"15";"17";"ROM";"Amélia Rodrigues";"AME";"Quando Voltar Primavera";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 15 · Ordem estante (Table 2): 17 · Obra nº 14 · Exemplares da mesma obra: 15, 16, 17"
"14";"14.2";"16";"17";"ROM";"Amélia Rodrigues";"AME";"Quando Voltar Primavera";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 16 · Ordem estante (Table 2): 17 · Obra nº 14 · Exemplares da mesma obra: 15, 16, 17"
"14";"14.3";"17";"17";"ROM";"Amélia Rodrigues";"AME";"Quando Voltar Primavera";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 17 · Ordem estante (Table 2): 17 · Obra nº 14 · Exemplares da mesma obra: 15, 16, 17"
"15";"15";"933";"933";"ROM";"Amélia Rodrigues";"AME";"Trigo de Deus";"Amélia Rodrigues";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita, Passos de Jesus";"Português";"";"";"Nº legado deste exemplar: 933 · Ordem estante (Table 2): 933 · Obra nº 15"
"16";"16";"934";"934";"ROM";"André Luiz";"ALU";"Almas em Redeção";"Alexandre Luiz Rampim";"";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 934 · Ordem estante (Table 2): 934 · Obra nº 16"
"17";"17";"871";"871";"ROM";"André Luiz";"ALU";"Desobsessão";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 871 · Ordem estante (Table 2): 871 · Obra nº 17"
"18";"18.1";"828";"833";"ROM";"André Luiz";"ALU";"E a Vida Continua";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 828 · Ordem estante (Table 2): 833 · Obra nº 18 · Exemplares da mesma obra: 828, 833"
"18";"18.2";"833";"833";"ROM";"André Luiz";"ALU";"E a Vida Continua";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 833 · Ordem estante (Table 2): 833 · Obra nº 18 · Exemplares da mesma obra: 828, 833"
"19";"19.1";"421";"1054";"ROM";"André Luiz";"ALU";"Endereços da Paz";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 421 · Ordem estante (Table 2): 1054 · Obra nº 19 · Exemplares da mesma obra: 421, 1054"
"19";"19.2";"1054";"1054";"ROM";"André Luiz";"ALU";"Endereços da Paz";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1054 · Ordem estante (Table 2): 1054 · Obra nº 19 · Exemplares da mesma obra: 421, 1054"
"20";"20.1";"419";"419";"ROM";"André Luiz";"ALU";"Entre a Terra e o céu";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 419 · Ordem estante (Table 2): 419 · Obra nº 20 · Exemplares da mesma obra: 419, 1014"
"20";"20.2";"1014";"419";"ROM";"André Luiz";"ALU";"Entre a Terra e o céu";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1014 · Ordem estante (Table 2): 419 · Obra nº 20 · Exemplares da mesma obra: 419, 1014"
"21";"21.1";"807";"808";"ROM";"André Luiz";"ALU";"Entre o Céu e a Terra";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 807 · Ordem estante (Table 2): 808 · Obra nº 21 · Exemplares da mesma obra: 807, 808"
"21";"21.2";"808";"808";"ROM";"André Luiz";"ALU";"Entre o Céu e a Terra";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 808 · Ordem estante (Table 2): 808 · Obra nº 21 · Exemplares da mesma obra: 807, 808"
"22";"22.1";"776";"817";"ROM";"André Luiz";"ALU";"Evolução em dois mundos";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 776 · Ordem estante (Table 2): 817 · Obra nº 22 · Exemplares da mesma obra: 776, 816, 817"
